year,model,employment_female_prob_pp,female_conditional_log_earnings_coef,female_conditional_earnings_pct,combined_expected_earnings_male,combined_expected_earnings_female,combined_expected_earnings_gap_dollars,combined_expected_earnings_gap_pct,observed_total_earnings_gap_pct,observed_worker_hourly_gap_pct,ipw_worker_hourly_gap_pct,employment_model_female_coef,n_total,n_employed
2018,S1,1.1778917068307573,-0.4230907634641114,-34.498082139601095,75871.40565146625,50231.60209665961,25639.80355480664,33.79376371724192,28.48747660024793,21.7869382137987,21.59440928073108,0.292910313186268,58232,54604
2018,S2,1.232511832443549,-0.4198136349811274,-34.28307182310104,75832.9856977197,50394.07687408507,25438.90882363463,33.54596761498681,28.48747660024793,21.7869382137987,21.60555572427385,0.3077219935674211,58232,54604
2019,S0,1.410176144121056,-0.3251690707019801,-27.759479423870303,75294.95125821348,55198.99830902933,20095.952949184142,26.689642018981974,27.35078276880075,20.456356914884022,20.456356914884054,0.3644397777773681,58019,54623
2019,S1,1.2127369766844127,-0.4040445253081459,-33.2385605129509,77369.36955734347,52219.4510058564,25149.91855148707,32.50629893377486,27.35078276880075,20.456356914884022,20.213644110847575,0.3160756467155289,58019,54623
2019,S2,1.207750697153093,-0.4014241181857983,-33.063388951252,77299.02378207976,52303.87840562542,24995.14537645434,32.33565464800729,27.35078276880075,20.456356914884022,20.19564200926858,0.3171332241482524,58019,54623
2020,S0,1.5440107594473782,-0.2976406680650723,-25.743187974700767,76548.3364084923,57777.10913439014,18771.22727410215,24.522057767436557,24.859013293605365,17.80906420260123,17.80906420260121,0.3076660576347375,50176,46793
2020,S1,1.2449987258414017,-0.3751716656720891,-31.28286950586713,78497.96536721326,54559.4484848614,23938.516882351854,30.495716379867353,24.859013293605365,17.80906420260123,17.52994285401133,0.250274436698802,50176,46793
2020,S2,1.3378506222804036,-0.3724741259169029,-31.0972520718503,78431.09213401354,54706.12427214053,23724.96786187301,30.249442174456355,24.859013293605365,17.80906420260123,17.547064672719525,0.269964532157611,50176,46793
2021,S0,1.6892581577064747,-0.2981243461141141,-25.77909568008474,73242.12422168317,55352.987579469176,17889.136642213998,24.424655664093855,26.412062060351015,17.196392950871918,17.196392950871918,0.2759560694151363,51896,47695
2021,S1,1.2980428924827905,-0.3878047313787149,-32.14551711582468,76246.39400817016,52353.3064404356,23893.08756773456,31.336678774834,26.412062060351015,17.196392950871918,16.849898342845737,0.2148521247213548,51896,47695
2021,S2,1.3522762610841668,-0.3849201449159903,-31.949502418307553,76135.60585597396,52452.24936447208,23683.35649150188,31.10680768247091,26.412062060351015,17.196392950871918,16.803609429933484,0.2254754461198564,51896,47695
2022,S0,1.422468792011411,-0.2571878289704105,-22.677703354863688,72182.93832400795,56645.77894171257,15537.15938229538,21.524697862192376,23.915997125432725,16.558679521314918,16.558679521314897,0.3840650613620879,48726,45796
2022,S1,1.113993659438162,-0.3451341978544086,-29.187468180717623,74973.87596633592,53608.00417260525,21365.87179373068,28.49775540926307,23.915997125432725,16.558679521314918,16.304982056752714,0.3035984101459889,48726,45796
2022,S2,1.1999180798516,-0.34542121223227,-29.20778947909063,75026.45798745255,53670.13866774872,21356.319319703827,28.465050720207884,23.915997125432725,16.558679521314918,16.311388880833768,0.3287702101143765,48726,45796
2023,S0,1.424721104368609,-0.2655437015800875,-23.32110677345318,74772.23833501477,58190.940015985536,16581.298319029236,22.17574154292028,22.717928736727018,16.571739203309917,16.571739203309903,0.3836398934588042,46934,44254
2023,S1,1.136524304146487,-0.3515975900556453,-29.64368141588716,77539.96703989437,55108.21131942317,22431.755720471207,28.92928199070558,22.717928736727018,16.571739203309917,16.34155315084936,0.3084281230062601,46934,44254
2023,S2,1.1691878389296722,-0.3509566454272875,-29.598572456791395,77524.68304449612,55144.95129500898,22379.731749487142,28.867879068453668,22.717928736727018,16.571739203309917,16.333145437945387,0.3185722259151972,46934,44254
