year,model,female_coef,female_se,female_pvalue,r_squared,n_obs,controls
2021,M4,-0.15413274777112698,0.0017530208090333764,0.0,0.3178115115411819,861048,female + age + age_sq + C(race_ethnicity) + C(education_level) + C(state_fips) + C(occupation_code) + C(industry_code) + C(class_of_worker) + usual_hours_week + work_from_home + commute_minutes_one_way
2021,M5,-0.15650675485709045,0.0018236489932460264,0.0,0.32066116607205963,861048,female + age + age_sq + C(race_ethnicity) + C(education_level) + C(state_fips) + C(occupation_code) + C(industry_code) + C(class_of_worker) + usual_hours_week + work_from_home + commute_minutes_one_way + C(marital_status) + number_children + children_under_5
2021,M6_reproductive,-0.12441990326736592,0.0021132798202652264,0.0,0.321648117322921,861048,female + age + age_sq + C(race_ethnicity) + C(education_level) + C(state_fips) + C(occupation_code) + C(industry_code) + C(class_of_worker) + usual_hours_week + work_from_home + commute_minutes_one_way + C(marital_status) + number_children + children_under_5 + recent_birth + recent_marriage + has_own_child + own_child_under6 + own_child_6_17_only + C(couple_type) + C(reproductive_stage)
2021,M7_onet_context,-0.12419458237608064,0.0021179153991169393,0.0,0.32183242521978794,857287,female + age + age_sq + C(race_ethnicity) + C(education_level) + C(state_fips) + C(occupation_code) + C(industry_code) + C(class_of_worker) + usual_hours_week + work_from_home + commute_minutes_one_way + C(marital_status) + number_children + children_under_5 + recent_birth + recent_marriage + has_own_child + own_child_under6 + own_child_6_17_only + C(couple_type) + C(reproductive_stage) + autonomy + schedule_unpredictability + time_pressure + coordination_responsibility + physical_proximity + job_rigidity
2021,M8_reproductive_x_job_context,-0.09256781480795509,0.04569482748138778,0.042787313519724035,0.3227088757650757,857287,female + age + age_sq + C(race_ethnicity) + C(education_level) + C(state_fips) + C(occupation_code) + C(industry_code) + C(class_of_worker) + usual_hours_week + work_from_home + commute_minutes_one_way + C(marital_status) + number_children + children_under_5 + recent_birth + recent_marriage + has_own_child + own_child_under6 + own_child_6_17_only + C(couple_type) + C(reproductive_stage) + autonomy + schedule_unpredictability + time_pressure + coordination_responsibility + physical_proximity + job_rigidity + female_x_recent_birth + female_x_own_child_under6 + female_x_recent_marriage + female_x_same_sex_couple_household + female_x_autonomy + female_x_job_rigidity + female_x_own_child_under6_x_job_rigidity
2022,M0,-0.16543097741678986,0.0016017016506771145,0.0,0.011649019602827493,905093,female
2022,M1,-0.23026024890277141,0.0014406797707939986,0.0,0.21548173324386566,905093,female + age + age_sq + C(race_ethnicity) + C(education_level)
2022,M2,-0.22754331910017078,0.0014272144901088602,0.0,0.23049468049800392,905093,female + age + age_sq + C(race_ethnicity) + C(education_level) + C(state_fips)
2022,M3,-0.13423734023921416,0.001560252758252603,0.0,0.3601158311675241,905093,female + age + age_sq + C(race_ethnicity) + C(education_level) + C(state_fips) + C(occupation_code) + C(industry_code) + C(class_of_worker)
2022,M4,-0.1491366773350107,0.001560830299329114,0.0,0.3674210265087453,905093,female + age + age_sq + C(race_ethnicity) + C(education_level) + C(state_fips) + C(occupation_code) + C(industry_code) + C(class_of_worker) + usual_hours_week + work_from_home + commute_minutes_one_way
2022,M5,-0.14910012320539523,0.001622923348515781,0.0,0.37106480830733857,905093,female + age + age_sq + C(race_ethnicity) + C(education_level) + C(state_fips) + C(occupation_code) + C(industry_code) + C(class_of_worker) + usual_hours_week + work_from_home + commute_minutes_one_way + C(marital_status) + number_children + children_under_5
2022,M6_reproductive,-0.11532454816646999,0.0018781478345869284,0.0,0.3722773079607993,905093,female + age + age_sq + C(race_ethnicity) + C(education_level) + C(state_fips) + C(occupation_code) + C(industry_code) + C(class_of_worker) + usual_hours_week + work_from_home + commute_minutes_one_way + C(marital_status) + number_children + children_under_5 + recent_birth + recent_marriage + has_own_child + own_child_under6 + own_child_6_17_only + C(couple_type) + C(reproductive_stage)
2022,M7_onet_context,-0.11525884090870278,0.0018821022004283545,0.0,0.3726451173943891,900891,female + age + age_sq + C(race_ethnicity) + C(education_level) + C(state_fips) + C(occupation_code) + C(industry_code) + C(class_of_worker) + usual_hours_week + work_from_home + commute_minutes_one_way + C(marital_status) + number_children + children_under_5 + recent_birth + recent_marriage + has_own_child + own_child_under6 + own_child_6_17_only + C(couple_type) + C(reproductive_stage) + autonomy + schedule_unpredictability + time_pressure + coordination_responsibility + physical_proximity + job_rigidity
2022,M8_reproductive_x_job_context,-0.11584737526149985,0.0405260684316379,0.004255394285538576,0.37354521775130944,900891,female + age + age_sq + C(race_ethnicity) + C(education_level) + C(state_fips) + C(occupation_code) + C(industry_code) + C(class_of_worker) + usual_hours_week + work_from_home + commute_minutes_one_way + C(marital_status) + number_children + children_under_5 + recent_birth + recent_marriage + has_own_child + own_child_under6 + own_child_6_17_only + C(couple_type) + C(reproductive_stage) + autonomy + schedule_unpredictability + time_pressure + coordination_responsibility + physical_proximity + job_rigidity + female_x_recent_birth + female_x_own_child_under6 + female_x_recent_marriage + female_x_same_sex_couple_household + female_x_autonomy + female_x_job_rigidity + female_x_own_child_under6_x_job_rigidity
2023,M0,-0.16311961487778556,0.0015938825364726257,0.0,0.011256953116570267,919948,female
2023,M1,-0.22945618669718712,0.0014344046704919103,0.0,0.21438614359924557,919948,female + age + age_sq + C(race_ethnicity) + C(education_level)
2023,M2,-0.22692147254660153,0.0014215424013425898,0.0,0.22879543390290769,919948,female + age + age_sq + C(race_ethnicity) + C(education_level) + C(state_fips)
2023,M3,-0.12929957456071986,0.0015434587050248486,0.0,0.3636673125151697,919948,female + age + age_sq + C(race_ethnicity) + C(education_level) + C(state_fips) + C(occupation_code) + C(industry_code) + C(class_of_worker)
2023,M4,-0.1437812577324133,0.001543813642567749,0.0,0.3702798685791735,919948,female + age + age_sq + C(race_ethnicity) + C(education_level) + C(state_fips) + C(occupation_code) + C(industry_code) + C(class_of_worker) + usual_hours_week + work_from_home + commute_minutes_one_way
2023,M5,-0.14366948767930066,0.0016038819016918212,0.0,0.37412449892344224,919948,female + age + age_sq + C(race_ethnicity) + C(education_level) + C(state_fips) + C(occupation_code) + C(industry_code) + C(class_of_worker) + usual_hours_week + work_from_home + commute_minutes_one_way + C(marital_status) + number_children + children_under_5
