suite,outcome,stratifier,stratum,metric,value,n_obs
V5_occupation_dispersion,log_hourly_wage_real,occupation_code,3255,residual_variance_ratio,0.9074037172029503,250147
V5_occupation_dispersion,log_hourly_wage_real,occupation_code,3255,male_p90_p10,1.1901981830596924,250147
V5_occupation_dispersion,log_hourly_wage_real,occupation_code,3255,female_p90_p10,1.1424305438995361,250147
V5_occupation_dispersion,log_hourly_wage_real,occupation_code,3255,male_p95_p50,0.8077437877655029,250147
V5_occupation_dispersion,log_hourly_wage_real,occupation_code,3255,female_p95_p50,0.7177116870880127,250147
V5_occupation_dispersion,log_hourly_wage_real,occupation_code,3255,male_top10_share,0.14142065605712129,250147
V5_occupation_dispersion,log_hourly_wage_real,occupation_code,3255,female_top10_share,0.09468641395552244,250147
V5_occupation_dispersion,log_hourly_wage_real,occupation_code,3255,male_top5_share,0.07759071766711084,250147
V5_occupation_dispersion,log_hourly_wage_real,occupation_code,3255,female_top5_share,0.04624037959550164,250147
V5_occupation_dispersion,log_hourly_wage_real,occupation_code,7140,raw_variance_ratio,1.3525142820229992,12116
V5_occupation_dispersion,log_hourly_wage_real,occupation_code,7140,residual_variance_ratio,1.3848599869736657,12116
V5_occupation_dispersion,log_hourly_wage_real,occupation_code,7140,male_p90_p10,1.2714393138885498,12116
V5_occupation_dispersion,log_hourly_wage_real,occupation_code,7140,female_p90_p10,1.4960062503814697,12116
V5_occupation_dispersion,log_hourly_wage_real,occupation_code,7140,male_p95_p50,0.71378493309021,12116
V5_occupation_dispersion,log_hourly_wage_real,occupation_code,7140,female_p95_p50,0.7846248149871826,12116
V5_occupation_dispersion,log_hourly_wage_real,occupation_code,7140,male_top10_share,0.10264004447158102,12116
V5_occupation_dispersion,log_hourly_wage_real,occupation_code,7140,female_top10_share,0.05417384223103315,12116
V5_occupation_dispersion,log_hourly_wage_real,occupation_code,7140,male_top5_share,0.05083019693255447,12116
V5_occupation_dispersion,log_hourly_wage_real,occupation_code,7140,female_top5_share,0.03772678120869879,12116
V5_occupation_dispersion,log_hourly_wage_real,occupation_code,9620,raw_variance_ratio,1.0437221878081415,143507
V5_occupation_dispersion,log_hourly_wage_real,occupation_code,9620,residual_variance_ratio,1.0624059289365966,143507
V5_occupation_dispersion,log_hourly_wage_real,occupation_code,9620,male_p90_p10,1.373551607131958,143507
V5_occupation_dispersion,log_hourly_wage_real,occupation_code,9620,female_p90_p10,1.423384189605713,143507
