suite,outcome,stratifier,stratum,n_obs,raw_variance_ratio,residual_variance_ratio,female_top10_share,male_top10_share,female_top5_share,male_top5_share,top10_share_gap_pp,top5_share_gap_pp,female_to_male_top10_ratio,female_to_male_top5_ratio
V1_raw_residual,log_annual_earnings_real,survey_year,2024,922880,1.1092300137038258,1.1650783295474465,0.0697698325388193,0.1344890051342393,0.0314093907586821,0.0690856585748902,-0.06471917259542001,-0.0376762678162081,0.5187772224887752,0.45464415345528925
V1_raw_residual,log_hourly_wage_real,survey_year,2013,871769,0.8864687618615095,0.9331953106521672,0.0723608520010656,0.1262013913193444,0.0336114392056388,0.0653356203523406,-0.05384053931827881,-0.0317241811467018,0.5733760241831342,0.5144427958957107
V1_raw_residual,log_hourly_wage_real,survey_year,2014,863376,0.814274492816406,0.9875660894741248,0.0699933738813358,0.1251948650543,0.0284847861820369,0.0692953889651382,-0.055201491172964204,-0.04081060278310131,0.5590754369276887,0.4110632266797334
V1_raw_residual,log_hourly_wage_real,survey_year,2015,866850,0.8964045769188119,0.9402464053949016,0.0729610420647179,0.1260132146581405,0.0369875434105023,0.0714025816021761,-0.0530521725934226,-0.0344150381916738,0.5789951654090636,0.5180140910952028
V1_raw_residual,log_hourly_wage_real,survey_year,2016,868154,0.8968445670483455,0.9359017387693394,0.0731168605663715,0.124778622933398,0.0347960340623597,0.0664177130729553,-0.051661762367026506,-0.0316216790105956,0.5859726517850613,0.5238969011796393
V1_raw_residual,log_hourly_wage_real,survey_year,2017,883158,0.9083925392944578,0.9502232919424763,0.0753527147253749,0.126305514333446,0.0350689825584113,0.0653601882801564,-0.0509527996080711,-0.030291205721745096,0.596590854508886,0.5365495951158142
V1_raw_residual,log_hourly_wage_real,survey_year,2018,887201,0.910963404669679,0.954017264631079,0.0815631916675681,0.1345017341007761,0.0355069130185401,0.0658722767734685,-0.05293854243320799,-0.030365363754928404,0.6064099635061692,0.539026655183737
V1_raw_residual,log_hourly_wage_real,survey_year,2019,885141,0.9243841203468792,0.9524568178269204,0.0774776056776857,0.12271080308743,0.0382641063479051,0.0635881881886423,-0.0452331974097443,-0.0253240818407372,0.6313837390705024,0.6017486492049412
V1_raw_residual,log_hourly_wage_real,survey_year,2021,861048,0.9468478689671168,0.9750325862856418,0.0784985033619282,0.1197901987876296,0.0398643602904882,0.0595620808132193,-0.041291695425701394,-0.019697720522731103,0.6552998839336973,0.6692909271504269
V1_raw_residual,log_hourly_wage_real,survey_year,2022,905093,0.9197378603060572,0.950534035745505,0.0778952326968731,0.1231766768717807,0.0366962641352388,0.0624973036311614,-0.045281444174907606,-0.0258010394959226,0.632386216896866,0.5871655576024227
V1_raw_residual,log_hourly_wage_real,survey_year,2023,919948,0.9143100650182726,0.9402369338847686,0.0774523790236563,0.1232626780434009,0.0365090302375072,0.0626894787150074,-0.045810299019744594,-0.026180448477500194,0.6283522332395314,0.5823789092820644
V1_raw_residual,log_hourly_wage_real,survey_year,2024,922891,0.9074444127339244,0.9316379208849556,0.0791421085881145,0.1251754040371118,0.0368898505600058,0.0627806069412501,-0.0460332954489973,-0.025890756381244294,0.6322496755404966,0.5875994571783483
V3_reproductive_dispersion,log_annual_earnings_real,couple_type,same_sex,66544,0.9584953975491226,1.0061845066406536,0.0609938560897849,0.1424976828135104,0.027318583130487,0.0746226181384883,-0.08150382672372551,-0.0473040350080013,0.42803402052234624,0.366089850664149
V3_reproductive_dispersion,log_annual_earnings_real,couple_type,unpartnered,9667705,1.1241402643008316,1.189907262596098,0.0652555996551705,0.1324456581401478,0.0301558577572256,0.0688832982542954,-0.0671900584849773,-0.038727440497069804,0.4926971602656848,0.43778185019392785
V3_reproductive_dispersion,log_annual_earnings_real,fertility_risk_quartile,Q1,602827,,,0.1001442292642963,,0.0513830231579426,,,,,
V3_reproductive_dispersion,log_annual_earnings_real,fertility_risk_quartile,Q2,602820,,,0.1010831625634073,,0.0502129531119622,,,,,
V3_reproductive_dispersion,log_annual_earnings_real,fertility_risk_quartile,Q3,602806,,,0.1000414546737926,,0.0500078145280705,,,,,
V3_reproductive_dispersion,log_annual_earnings_real,fertility_risk_quartile,Q4,602821,,,0.101047961179165,,0.0501565817415648,,,,,
V3_reproductive_dispersion,log_annual_earnings_real,fertility_risk_quartile,missing,7322975,1.238791207540735,1.2923598185158198,0.0596173930706427,0.1183456813403208,0.0282161388455275,0.0599216066265323,-0.058728288269678096,-0.031705467781004804,0.5037563888723909,0.4708842174641202
V3_reproductive_dispersion,log_annual_earnings_real,reproductive_stage,childless_other_partnered,22901,0.951212657669165,1.0402646514937344,0.0520668281346673,0.1348188111890981,0.0211228816756454,0.0716527160880562,-0.08275198305443081,-0.05052983441241081,0.386198540659418,0.2947952684680766
V3_reproductive_dispersion,log_annual_earnings_real,reproductive_stage,childless_recently_married,2956083,1.0672406525096176,1.103303993922207,0.0666540895869046,0.1309808656419052,0.0317365182349052,0.0669029189465015,-0.0643267760550006,-0.035166400711596296,0.5088841737321647,0.47436672023657306
V3_reproductive_dispersion,log_annual_earnings_real,reproductive_stage,childless_unpartnered,2215973,0.8909736365061434,0.8630456911047907,0.0952151175853311,0.1050010590991219,0.045359239591357,0.0533010882690564,-0.009785941513790794,-0.007941848677699398,0.9068014970729698,0.8510002527976528
V3_reproductive_dispersion,log_annual_earnings_real,reproductive_stage,mother_6_17_only,1344969,,,0.1002908921112248,0.0,0.0501244500821116,0.0,0.1002908921112248,0.0501244500821116,inf,inf
V3_reproductive_dispersion,log_annual_earnings_real,reproductive_stage,mother_mixed_or_other,2318187,1.2294174607508104,1.5760599264614252,0.0090342606904636,0.1057610115115237,0.0037139385573484,0.0531512990068682,-0.0967267508210601,-0.049437360449519796,0.08542146639245436,0.06987484081750261
V3_reproductive_dispersion,log_annual_earnings_real,reproductive_stage,mother_under6,662343,1.2660916712332444,1.225392673373944,0.1000822562422283,0.1582653224515922,0.0501007218750673,0.0835333653384541,-0.05818306620936389,-0.0334326434633868,0.6323700902504398,0.5997689865848578
V3_reproductive_dispersion,log_annual_earnings_real,reproductive_stage,recent_birth,213793,2.008067328066318,1.881870566122659,0.1000139592525719,0.1998491704374057,0.0501215435475784,0.1032105149752208,-0.0998352111848338,-0.0530889714276424,0.5004472074298504,0.4856243916582703
